날짜,종가,시가,고가,저가,거래량
2020.09.11,"39,900","40,050","40,300","39,600","65,228"
2020.09.10,"40,550","39,850","41,100","39,600","186,990"
2020.09.09,"39,450","40,000","40,200","39,300","225,818"
2020.09.08,"40,850","41,500","42,200","40,350","181,009"
2020.09.07,"41,300","40,900","42,600","39,850","439,128"
2020.09.04,"40,700","39,350","40,900","39,250","436,858"
2020.09.03,"40,900","37,650","41,200","37,650","875,309"
2020.09.02,"37,200","37,300","37,650","36,600","195,612"
2020.09.01,"37,300","37,350","37,900","36,600","150,234"
2020.08.31,"37,100","37,050","38,550","36,850","238,781"
2020.08.28,"35,800","36,950","37,300","35,250","253,625"
2020.08.27,"36,450","38,050","38,050","36,300","186,968"
2020.08.26,"38,250","38,300","38,300","37,150","131,602"
2020.08.25,"38,550","37,250","39,050","37,200","252,542"
2020.08.24,"36,850","36,350","36,900","34,800","163,005"
2020.08.21,"36,400","36,550","37,400","35,800","244,694"
2020.08.20,"35,800","37,950","37,950","35,200","425,587"
2020.08.19,"38,000","38,250","38,750","36,900","325,780"
2020.08.18,"37,800","41,250","41,400","37,300","623,557"
2020.08.14,"42,100","43,150","43,550","40,150","467,144"
2020.08.13,"42,600","46,150","46,800","42,450","840,482"
2020.08.12,"45,700","41,950","46,950","40,550","1,514,215"
2020.08.11,"42,700","43,900","44,550","42,300","321,260"
2020.08.10,"44,450","42,350","44,450","41,250","504,930"
2020.08.07,"43,100","42,550","43,600","41,400","523,674"
2020.08.06,"42,300","38,350","42,500","38,100","831,044"
2020.08.05,"38,100","38,500","38,950","37,750","257,152"
2020.08.04,"38,150","36,050","38,300","35,700","432,411"
2020.08.03,"35,900","36,650","36,750","35,500","199,970"
2020.07.31,"36,750","37,000","37,500","36,150","215,714"
2020.07.30,"37,000","38,000","38,000","36,500","255,509"
2020.07.29,"38,000","37,250","38,400","36,650","356,377"
2020.07.28,"37,550","37,250","38,700","36,000","433,949"
2020.07.27,"37,000","34,500","37,000","34,500","672,880"
2020.07.24,"34,300","32,950","34,700","32,750","371,781"
2020.07.23,"33,400","30,350","33,600","30,300","508,771"
2020.07.22,"30,450","31,000","31,750","30,350","98,126"
2020.07.21,"31,200","30,750","31,450","30,550","138,160"
2020.07.20,"30,650","29,850","30,850","29,850","79,009"
2020.07.17,"29,950","30,200","30,350","29,800","71,474"
2020.07.16,"30,050","30,100","30,550","30,000","75,808"
2020.07.15,"30,100","30,150","30,600","29,950","74,352"
2020.07.14,"30,000","30,050","30,250","29,950","54,929"
2020.07.13,"30,400","30,450","30,550","30,000","46,403"
2020.07.10,"30,400","30,900","30,900","30,050","53,109"
2020.07.09,"30,900","30,600","31,300","30,550","74,484"
2020.07.08,"30,600","30,100","30,750","30,000","69,165"
2020.07.07,"30,050","30,650","30,750","30,050","73,032"
2020.07.06,"30,300","30,100","30,800","30,100","68,547"
2020.07.03,"30,300","30,000","30,900","30,000","67,336"
